,Component 1,Component 2,Component 3,Component 4
I_e,0.2616,0.8233,0.5789,0.2966
r_e,10.0000,3.0000,3.0000,7.0000
n,0.1934,0.9546,0.1799,0.2192
x_0,29.0000,48.0752,53.0000,61.0000
