,Component 1,Component 2,Component 3,Component 4
I_e,0.3462,0.1054,0.2063,0.0748
r_e,1.1888,26.7695,1.2901,3.2563
n,0.3253,2.0032,0.1000,0.4146
x_0,34.6386,47.7517,54.3941,66.9803
