,Component 1,Component 2,Component 3,Component 4
I_e,0.0194,0.4025,0.0359,0.0651
r_e,48.4729,4.1833,26.1444,7.1726
n,2.0830,1.2661,1.8539,0.8625
x_0,35.2776,48.2700,55.0000,67.4561
