Name,Flux,Error_flux
Hgamma,0.30900633082126955,0.077078147677067
Hbeta,0.6613871718080524,0.07126860265090317
Halpha,2.131326144665205,0.04135383738807357
[SII]6731_d1,0.15049369151359343,0.09918614549889782
[SII]6731_d2,0.440552217952752,0.1086507768676617
HeII4687,0.0,0.022893348682998506
HeI5876,0.04724465204929816,0.02622769508687134
[OIII]4959,0.1203012680026409,0.036760966173714084
[OIII]5007,0.3609038040079227,0.036760966173714084
[OI]6300,0.12451048147771043,0.015830007246644937
[OI]6364,0.04150349382590348,0.015830007246644937
[NII]6548,0.2973036845511396,0.04431659318380826
[NII]6583,0.8919110536534187,0.04431659318380826
