,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.007,0.007,0.010,0.018,0.012
Continuum_2,0.005,0.005,0.007,0.013,0.009
Continuum_3,0.005,0.006,0.008,0.016,0.008
