Name,Flux,Error_flux
Hgamma,0.10592008872274776,0.021202889740927974
Hbeta,0.18688675961806367,0.014732717320435513
Halpha,0.6948480623552381,0.024381085580669197
[SII]6716,0.15743750575908289,0.006688804926030028
[SII]6731,0.07903564217423963,0.003864922105764683
HeII4687,0.0,0.005369453923162191
HeI5876,0.030064409061864705,0.007170965643049129
[OIII]4959,0.014148035633056097,0.0058922544304028796
[OIII]5007,0.04244410689916829,0.0058922544304028796
[OI]6300,0.00011588586101647271,0.0019230822839608982
[OI]6364,3.862862033882424e-05,0.0019230822839608982
[NII]6548,0.08722604602705751,0.013134712813491376
[NII]6583,0.2616781380811725,0.013134712813491376
