,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,4.015,3.730,5.079,8.448,7.870
Continuum_2,5.627,6.004,8.155,14.451,10.932
Continuum_3,5.178,5.900,7.601,14.077,9.902
