Name,Flux,Error flux
Hgamma,0.14950964865071023,0.035860266021038666
Hbeta,0.384053275636717,0.05310588796380428
Halpha,1.0156157213031398,0.05134313889600019
[SII]6716,0.5380629123804375,0.020952567294637077
[SII]6731,0.24713703717467683,0.0359079754770869
HeII4687,0.005991255795498643,0.024143299441389144
HeI5876,0.05777606382768834,0.015033812451416839
[OIII]5007_d,0.29257753504656103,0.028094462803587995
[OI]6300_d,0.010758638528715538,0.016461319224196212
[NII]6583_d,0.5320360747029619,0.04793983225503657
