,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.129,0.217,0.252,0.149
Continuum_2,0.123,0.210,0.246,0.162
Continuum_3,0.106,0.181,0.214,0.142
