,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,4.621,6.680,6.842,4.940
Continuum_2,8.298,10.382,11.464,8.855
Continuum_3,7.920,9.958,10.864,8.108
