,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.240,0.204,0.247,0.087
Continuum_2,0.222,0.206,0.242,0.096
Continuum_3,0.190,0.180,0.214,0.082
