,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,2.7801,0.0000,0.4659,4.7823,3.1981
r_e,5.6298,15.2219,3.7554,6.9505,5.8010
n,1.9324,0.0155,0.0301,1.3769,0.0478
x_0,31.9707,41.4487,42.4350,60.6279,61.7813
