,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,95.475,5.549,0.301,0.225,0.138,0.030,0.016
Green,1.743,91.632,0.170,0.105,0.051,0.010,0.005
Magenta,2.657,2.636,94.291,87.304,31.569,6.911,4.182
Orange,0.000,0.000,0.023,0.243,0.008,0.000,0.000
Chocolate,0.000,0.000,0.000,0.000,0.002,0.000,0.000
Purple,0.124,0.183,5.215,12.119,68.002,87.799,46.813
Deeppink,0.000,0.000,0.000,0.004,0.230,5.251,48.984
