,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,97.206,10.354,1.615,1.576,1.248,0.386,0.381
Green,2.137,88.264,0.347,0.253,0.130,0.031,0.024
Magenta,0.469,0.955,88.921,77.256,14.127,2.562,1.816
Orange,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Chocolate,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Purple,0.188,0.427,9.116,20.915,84.495,96.740,88.020
Deeppink,0.000,0.000,0.000,0.000,0.000,0.282,9.759
