,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,96.275,1.035,0.062,0.098,0.062,0.010,0.006
Green,3.203,98.554,0.227,0.349,0.227,0.038,0.024
Magenta,0.284,0.252,95.163,64.945,12.224,1.329,0.663
Orange,0.000,0.000,0.431,17.250,0.000,0.000,0.000
Chocolate,0.000,0.000,0.000,0.000,2.724,0.000,0.000
Dodgerblue,0.238,0.160,4.117,17.359,84.763,96.343,36.054
Deeppink,0.000,0.000,0.000,0.000,0.000,2.280,63.253
