,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,94.919,4.882,1.062,1.276,0.878,0.289,0.187
Green,1.974,92.087,0.163,0.139,0.055,0.012,0.006
Magenta,1.000,1.407,84.354,67.016,22.930,5.051,2.563
Orange,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Chocolate,0.000,0.000,0.000,0.000,0.245,0.000,0.000
Purple,2.107,1.624,14.420,31.569,75.892,94.610,40.178
Deeppink,0.000,0.000,0.000,0.000,0.000,0.038,57.066
