,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,96.055,3.858,0.242,0.234,0.154,0.028,0.015
Green,1.388,93.897,0.132,0.108,0.057,0.009,0.005
Magenta,2.444,2.098,94.945,86.872,35.261,6.516,3.740
Orange,0.000,0.000,0.014,0.293,0.005,0.000,0.000
Chocolate,0.000,0.000,0.000,0.000,0.002,0.000,0.000
Purple,0.112,0.147,4.666,12.489,64.369,90.092,42.080
Deeppink,0.000,0.000,0.000,0.003,0.151,3.354,54.161
