,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,95.261,7.361,2.560,3.115,2.323,1.201,1.120
Green,2.219,90.557,0.094,0.065,0.020,0.006,0.003
Magenta,1.074,1.090,86.901,70.520,14.644,4.325,2.757
Orange,0.000,0.000,0.166,2.714,0.024,0.002,0.001
Chocolate,0.000,0.000,0.004,0.166,19.253,0.725,0.010
Purple,1.445,0.991,10.276,23.419,63.736,90.480,57.724
Deeppink,0.000,0.000,0.000,0.000,0.000,3.261,38.385
