,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,96.203,4.578,1.943,3.600,2.066,1.071,0.871
Green,1.670,94.019,0.064,0.069,0.017,0.005,0.003
Magenta,0.904,0.737,89.739,61.876,12.007,3.774,2.172
Orange,0.000,0.000,0.040,5.877,0.013,0.002,0.001
Chocolate,0.000,0.000,0.002,0.122,26.937,0.238,0.005
Dodgerblue,1.223,0.666,8.212,28.456,58.961,94.672,44.759
Deeppink,0.000,0.000,0.000,0.000,0.000,0.239,52.190
