,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,93.349,7.604,1.298,1.207,0.804,0.325,0.255
Green,2.852,88.127,0.215,0.136,0.050,0.014,0.008
Magenta,1.245,1.971,81.955,68.576,20.869,5.776,3.468
Orange,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Chocolate,0.000,0.000,0.000,0.000,0.150,0.001,0.000
Purple,2.554,2.298,16.532,30.081,78.127,91.121,55.219
Deeppink,0.000,0.000,0.000,0.000,0.000,2.763,41.051
