,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,97.838,6.820,1.217,1.854,1.395,0.351,0.358
Green,1.608,92.163,0.247,0.292,0.147,0.027,0.023
Magenta,0.396,0.703,91.183,73.759,15.802,2.277,1.721
Orange,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Chocolate,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Purple,0.158,0.315,7.353,24.095,82.657,97.339,82.884
Deeppink,0.000,0.000,0.000,0.000,0.000,0.005,15.013
