,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,95.007,1.588,0.084,0.090,0.053,0.010,0.007
Green,4.354,97.873,0.309,0.323,0.195,0.041,0.029
Magenta,0.349,0.329,93.503,71.397,10.453,1.439,0.782
Orange,0.000,0.000,1.094,12.033,0.001,0.000,0.000
Chocolate,0.000,0.000,0.000,0.000,1.579,0.001,0.000
Purple,0.290,0.210,5.010,16.158,87.719,92.928,43.003
Deeppink,0.000,0.000,0.000,0.000,0.000,5.580,56.180
