,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,97.712,7.610,1.305,1.685,1.381,0.368,0.361
Green,1.709,91.258,0.267,0.268,0.146,0.029,0.023
Magenta,0.415,0.782,90.504,75.927,15.840,2.411,1.744
Orange,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Chocolate,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Purple,0.165,0.350,7.923,22.120,82.633,97.118,85.091
Deeppink,0.000,0.000,0.000,0.000,0.000,0.074,12.781
