,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,94.560,5.581,1.120,1.240,0.872,0.311,0.211
Green,2.143,90.968,0.173,0.137,0.055,0.013,0.007
Magenta,1.062,1.605,83.493,67.842,22.924,5.473,2.902
Orange,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Chocolate,0.000,0.000,0.000,0.000,0.214,0.000,0.000
Purple,2.234,1.847,15.214,30.780,75.936,93.445,45.911
Deeppink,0.000,0.000,0.000,0.000,0.000,0.759,50.970
