,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,96.153,5.320,2.117,3.302,2.354,1.149,0.952
Green,1.640,93.052,0.070,0.068,0.021,0.005,0.003
Magenta,0.932,0.857,88.764,68.194,15.126,4.090,2.384
Orange,0.000,0.000,0.074,3.689,0.022,0.002,0.001
Chocolate,0.000,0.000,0.003,0.116,24.723,0.422,0.007
Purple,1.275,0.771,8.972,24.632,57.753,93.069,49.695
Deeppink,0.000,0.000,0.000,0.000,0.000,1.262,46.958
