,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,96.210,3.447,0.228,0.248,0.156,0.026,0.014
Green,1.314,94.527,0.123,0.114,0.058,0.009,0.004
Magenta,2.367,1.893,95.258,86.096,35.464,6.061,3.539
Orange,0.000,0.000,0.008,0.363,0.002,0.000,0.000
Chocolate,0.000,0.000,0.000,0.000,0.002,0.000,0.000
Purple,0.108,0.132,4.382,13.176,64.180,91.785,38.796
Deeppink,0.000,0.000,0.000,0.003,0.138,2.119,57.646
