,Component 1,Component 2,Component 3,Component 4
I_e,13.0618,17.0616,0.0265,2.8582
r_e,5.0540,1.6501,90.4695,13.7381
n,0.8850,0.5632,4.9594,1.0713
x_0,61.3980,51.7532,58.8702,47.1110
