,Component 1,Component 2,Component 3,Component 4
I_e error,1.2166,4.8190,0.1297,0.3204
r_e error,0.1706,0.3043,271.0830,0.6195
n error,0.0486,0.2223,5.9145,0.0566
x_0 error,0.1937,0.0616,0.0003,0.5337
