Name,Flux,Error flux
Hgamma,0.5544118318296125,0.08803806801734003
Hbeta,1.2947000018024366,0.10972054329199207
Halpha,5.113863145504358,0.10898653598895074
[SII]6716,1.0424377049057134,0.04259021295729609
[SII]6731,0.8427768848482582,0.036117369771284755
HeII4687,0.04967515136228956,0.03871618057945737
HeI5876,0.14898839805037362,0.027211848555012103
[OIII]5007_d,2.3898283329155796,0.1437088838677902
[OI]6300_d,0.19016617253752013,0.035330913586256146
[NII]6583_d,1.7273110167422827,0.049465865167548376
