Name,Flux,Error_flux
Hgamma,0.10036352856390543,0.03569279415945601
Hbeta,0.21849736573855533,0.03521612163854895
Halpha,0.7756461002886513,0.04682078515922654
[SII]6716,0.45345286039041666,0.045135740920575
[SII]6731,0.2380905034116096,0.06433104134741152
HeII4687,0.0,0.02791064910554571
HeI5876,0.018764044327586722,0.006980041804519977
[OIII]4959,0.07815801846034935,0.044529045722072016
[OIII]5007,0.23447405538104804,0.044529045722072016
[OI]6300,0.0,0.017547626305410166
[OI]6364,0.0,0.017547626305410166
[NII]6548,0.10508497885816431,0.05058232543847424
[NII]6583,0.31525493657449294,0.05058232543847424
