L_c_OIII,sigma_{L_c_OIII},LX,sigma_{LX},Lbol,sigma_{Lbol}
2.66e+38,4.86e+37,2.84e+39,1.64e+39,nan,nan
4.94e+39,9.45e+38,5.59e+40,2.45e+40,nan,nan
1.63e+40,3.04e+39,1.89e+41,7.33e+40,nan,nan
