,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0311,0.0515,0.0310,0.0524,0.0204
r_e error,0.6030,4.7790,0.4557,0.4607,2.0908
n error,0.0710,0.2474,0.0654,0.2553,0.1563
x_0 error,0.0738,0.1256,0.4531,0.5305,0.1084
