,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0554,0.4854,0.1550,0.2200,0.0401
r_e error,0.2995,0.4315,0.8585,3.6168,1.3744
n error,0.0576,0.3429,0.0935,0.7936,0.1908
x_0 error,0.0685,0.1330,0.3265,0.3037,0.0748
