,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.3036,0.1281,0.0777,0.3645,0.1141
r_e,7.6336,13.1815,2.3900,4.2954,9.0379
n,1.3456,1.9018,0.0468,0.5779,0.9525
x_0,28.3458,49.1549,52.1172,59.6229,72.9405
