,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,1.0000,2.0000,1.0000,1.0000,1.0000
r_e,12.6602,14.2965,8.7971,14.9220,8.5718
n,2.6791,1.9472,0.1000,1.8772,1.0888
x_0,28.7525,49.9332,57.7252,60.3245,75.0000
