,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0357,0.1053,0.3373,0.0513,0.0194
r_e error,0.3449,3.6181,2.8563,0.3677,1.5562
n error,0.0532,0.5298,0.2936,0.0950,0.1434
x_0 error,0.0560,0.0956,1.4554,0.3034,0.1319
