,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0267,0.0440,7.5462,0.0460,0.0170
r_e error,0.5593,3.6453,10.0847,0.4048,1.0480
n error,0.0658,0.3556,2.5513,0.0805,0.1001
x_0 error,0.0422,0.3794,4.0678,0.1530,0.2074
