,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.8464,1.1139,0.3909,0.6786,0.3952
r_e error,0.4461,0.2153,0.2692,0.4611,0.2769
n error,0.0972,0.0591,0.0435,0.0723,0.0985
x_0 error,0.0398,0.0342,0.4168,0.1012,0.1862
