,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.3054,0.6403,0.2113,0.3447,0.0882
r_e,6.6983,2.2328,15.7084,4.9827,8.8911
n,1.0197,0.8678,1.1065,0.2191,1.3230
x_0,27.1858,47.6124,49.8179,55.9455,70.4809
