,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.5104,0.1967,0.3760,0.3748,0.1423
r_e,5.8436,9.9999,2.6543,4.0351,7.0000
n,0.9698,1.7070,0.1000,0.4826,0.9987
x_0,28.4456,49.2153,52.2743,59.3908,72.3772
