,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0168,0.0200,0.0166,0.0341,0.0133
r_e error,0.5849,3.9165,0.3575,0.2038,0.9456
n error,0.0599,0.1571,0.0455,0.1214,0.0877
x_0 error,0.0481,0.0555,0.2494,0.3223,0.1156
