Name,Flux,Error_flux
Hgamma,0.11348782377423715,0.05036336623333319
Hbeta,0.0917829341771891,0.024140171026399794
Halpha,0.6178084737920375,0.018424346968863973
[SII]6716,0.1902093882296447,0.02284150918860574
[SII]6731,0.14453460383518238,0.020129019858469935
HeII4687,0.0,0.04102292425020797
HeI5876,0.02982211777861455,0.030490894918623765
[OIII]4959,0.11299264761750745,0.07259376450755914
[OIII]5007,0.33897794285252236,0.07259376450755914
[OI]6300,0.010314913671866535,0.025690821324544894
[OI]6364,0.003438304557288845,0.025690821324544894
[NII]6548,0.07513363316949496,0.03188136338580614
[NII]6583,0.2254008995084849,0.03188136338580614
