Name,Flux,Error flux
Hgamma,0.016622994559322958,0.03542438108192135
Hbeta,0.31064186730252796,0.0576449823266293
Halpha,1.4571934540266365,0.039477351349892456
[SII]6716,0.49664079455985244,0.023734978823556727
[SII]6731,0.31749657616743576,0.019202276729885174
HeII4687,0.0,0.023888100851509483
HeI5876,0.15437540640166936,0.025778051380532036
[OIII]5007_d,0.35524803716575104,0.029688049567379953
[OI]6300_d,0.02732743046826648,0.033135365601619456
[NII]6583_d,0.655346921103449,0.02799334372768195
