L_c_OIII,sigma_{L_c_OIII},LX,sigma_{LX},Lbol,sigma_{Lbol}
1.16e+38,3.51e+37,1.22e+39,8.13e+38,1.87e+40,1.25e+40
6.52e+38,1.94e+38,7.09e+39,4.13e+39,1.09e+41,6.32e+40
2.13e+38,6.3e+37,2.27e+39,1.43e+39,nan,nan
2.58e+38,7.85e+37,2.76e+39,1.73e+39,nan,nan
1.8e+40,5.41e+39,2.09e+41,9.48e+40,3.21e+42,1.46e+42
