,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.335,0.348,0.450,0.247
Continuum_2,0.321,0.343,0.450,0.266
Continuum_3,0.275,0.297,0.395,0.232
