,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.048,0.045,0.051,0.041
Continuum_2,0.028,0.029,0.033,0.025
Continuum_3,0.024,0.025,0.032,0.023
