,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,0.968,23.049,4.410,6.045,2.154,0.356
Continuum_2,0.844,23.247,4.157,6.623,2.431,0.387
Continuum_3,0.671,18.394,3.835,6.687,2.455,0.338
