,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,0.105,1.208,0.211,0.262,0.161,0.081
Continuum_2,0.091,0.718,0.200,0.322,0.142,0.086
Continuum_3,0.109,1.913,0.177,0.192,0.142,0.070
