,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,9.198,19.087,20.867,23.037,13.382,4.380
Continuum_2,9.311,32.368,20.738,20.548,17.088,4.480
Continuum_3,6.177,9.617,21.709,34.885,17.351,4.848
