,SNR,Signal,Noise
Spettro_1,-0.113,-0.021,0.186
Spettro_2,0.206,0.047,0.229
Spettro_3,6.387,2.284,0.358
Spettro_4,6.829,4.304,0.630
Spettro_5,3.809,0.888,0.233
Spettro_6,3.178,0.726,0.229
Spettro_7,3.273,0.740,0.226
Spettro_8,3.167,2.460,0.777
Spettro_9,1.551,10.497,6.768
Spettro_10,3.834,1.692,0.441
Spettro_11,5.866,3.224,0.550
Spettro_12,9.537,10.297,1.080
Spettro_13,10.643,21.254,1.997
Spettro_14,6.618,19.841,2.998
Spettro_15,21.845,22.458,1.028
Spettro_16,9.997,4.255,0.426
Spettro_17,3.955,1.144,0.289
Spettro_18,4.536,1.079,0.238
Spettro_19,7.852,2.354,0.300
Spettro_20,3.743,0.549,0.147
