,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20
Continuum_1,0.295,0.412,0.783,0.877,0.416,0.447,0.594,5.525,14.064,0.967,1.542,3.012,4.723,4.990,2.123,0.835,0.561,0.398,0.348,0.198
Continuum_2,0.275,0.384,0.597,0.773,0.404,0.448,0.559,3.016,18.125,1.015,1.389,2.718,4.451,6.020,2.431,0.989,0.627,0.423,0.372,0.245
Continuum_3,0.202,0.287,0.449,0.627,0.315,0.340,0.444,1.763,15.754,0.881,1.181,2.421,4.171,6.257,2.455,0.975,0.581,0.376,0.320,0.198
