,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20
Continuum_1,0.128,0.108,0.246,0.410,0.110,0.114,0.112,0.740,0.386,0.135,0.160,0.233,0.358,0.337,0.309,0.136,0.109,0.099,0.109,0.090
Continuum_2,0.085,0.077,0.079,0.089,0.081,0.083,0.085,0.276,0.544,0.098,0.101,0.144,0.202,0.318,0.142,0.099,0.087,0.077,0.087,0.074
Continuum_3,0.048,0.060,0.064,0.109,0.061,0.056,0.056,0.100,1.819,0.066,0.079,0.126,0.163,0.196,0.142,0.081,0.075,0.062,0.060,0.055
