,SNR,Signal,Noise
Spettro_1,1.225,0.235,0.192
Spettro_2,2.545,0.519,0.204
Spettro_3,26.919,5.426,0.202
Spettro_4,34.970,15.525,0.444
Spettro_5,3.945,0.923,0.234
Spettro_6,0.147,0.032,0.221
Spettro_7,0.613,0.144,0.235
Spettro_8,-0.070,-0.041,0.592
Spettro_9,-8.451,-8.880,1.051
Spettro_10,1.563,0.429,0.275
Spettro_11,2.244,0.934,0.416
Spettro_12,2.962,1.554,0.525
Spettro_13,2.864,1.825,0.637
Spettro_14,1.958,1.935,0.988
Spettro_15,7.599,4.385,0.577
Spettro_16,5.369,1.260,0.235
Spettro_17,-0.283,-0.079,0.278
Spettro_18,2.775,0.674,0.243
Spettro_19,9.137,2.163,0.237
Spettro_20,3.147,0.736,0.234
