,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20
Continuum_1,2.001,3.560,5.324,4.303,4.916,5.611,5.768,5.550,7.131,8.967,10.060,8.146,6.787,6.409,5.194,4.553,7.461,7.946,3.340,2.479
Continuum_2,3.482,4.785,6.551,6.264,7.298,7.829,8.793,8.769,10.040,11.970,14.347,13.649,12.017,10.622,7.956,7.093,8.259,10.690,1.122,3.632
Continuum_3,2.958,3.957,6.478,7.187,6.870,8.111,8.675,8.883,10.941,12.330,15.413,12.498,11.704,11.166,9.560,8.300,8.297,11.265,7.008,4.831
