,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,7.449,0.107,0.014
Spettro_3,7.849,0.152,0.019
Spettro_4,5.084,0.094,0.019
Spettro_5,4.837,0.071,0.015
Spettro_6,6.675,0.102,0.015
Spettro_7,4.517,0.087,0.019
Spettro_8,5.937,0.107,0.018
Spettro_9,1.885,0.060,0.032
Spettro_10,6.435,0.177,0.028
Spettro_11,5.626,0.210,0.037
Spettro_12,7.249,0.308,0.042
Spettro_13,6.418,0.164,0.026
Spettro_14,7.714,0.231,0.030
Spettro_15,4.363,0.110,0.025
Spettro_16,8.018,0.151,0.019
Spettro_17,14.764,0.266,0.018
Spettro_18,49.437,0.474,0.010
Spettro_19,8.332,0.160,0.019
Spettro_20,4.539,0.095,0.021
