,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,11.982,0.119,0.010
Spettro_3,4.382,0.140,0.032
Spettro_4,7.543,0.223,0.030
Spettro_5,3.317,0.120,0.036
Spettro_6,3.553,0.115,0.032
Spettro_7,8.078,0.230,0.028
Spettro_8,7.821,0.333,0.043
Spettro_9,4.029,0.273,0.068
Spettro_10,4.665,0.339,0.073
Spettro_11,3.623,0.458,0.126
Spettro_12,4.022,0.529,0.132
Spettro_13,3.545,0.307,0.087
Spettro_14,4.099,0.248,0.060
Spettro_15,3.534,0.132,0.037
Spettro_16,2.447,0.112,0.046
Spettro_17,5.574,0.291,0.052
Spettro_18,6.176,0.436,0.071
Spettro_19,2.507,0.120,0.048
Spettro_20,1.539,0.058,0.038
