Name,Flux,Error_flux
Hgamma,0.23384490780399034,3.1354927994600905e-16
Hbeta,0.785486839171068,5.502502299423561e-15
Halpha,2.5041379658602083,1.174398252077863e-14
[SII]6716,0.3613866685185501,4.669769248521492e-15
[SII]6731,0.3412178980793792,5.285814247486549e-15
HeII4687,0.0,0.0
HeI5876,0.06432414172884839,1.4992928129338615e-15
[OIII]4959,0.14203812483479436,7.90125206773118e-15
[OIII]5007,0.42611437450438305,7.90125206773118e-15
[OI]6300,0.08247193634160949,1.7513448627379438e-15
[OI]6364,0.027490645447203164,1.7513448627379438e-15
[NII]6548,0.31494588117672273,1.2819431544219095e-14
[NII]6583,0.9448376435301682,1.2819431544219095e-14
