,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,398013.2577,10.8063,326179.9600,0.0133,0.0792,0.0791
r_e error,0.8043,9.3334,137.5923,12.9660,2.6942,0.2909
n error,1598949.9145,57.7040,218351.7355,0.1788,0.8934,0.1512
x_0 error,4.2934,0.1063,9.5616,1.1032,0.4599,0.2420
