,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.0795,25.5726,0.0088,0.0348,0.1236,0.1118,0.5464
r_e error,0.8004,23.1535,46.1303,6.3915,23.2240,33.0192,1068.8050
n error,0.1649,112.1978,0.5495,0.2839,1.7819,0.2219,1.1778
x_0 error,0.0523,0.0336,0.3728,1.2754,0.2176,3.6340,943.1281
