,SNR,SNR,SNR,Signal,Signal,Signal,Noise,Noise,Noise
,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_1,Spectrum_2,Spectrum_3
Continuum_1,22.953,14.800,15.996,0.722,0.417,0.300,0.031,0.028,0.019
Continuum_2,30.984,17.349,19.906,0.757,0.389,0.272,0.024,0.022,0.014
Continuum_3,23.646,11.823,13.045,0.794,0.331,0.228,0.034,0.028,0.017
