,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,99.777,26.990,14.066,0.089,0.101
Green,0.000,49.765,16.114,0.000,0.000
Magenta,0.000,17.573,55.156,0.000,0.000
Orange,0.223,5.671,14.664,99.473,72.412
Chocolate,0.000,0.000,0.000,0.438,27.487
