,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,97.212,41.781,26.132,1.614,1.717
Green,0.027,39.640,29.018,0.000,0.000
Purple,0.079,9.488,28.686,0.301,0.013
Orange,2.682,9.090,16.163,84.620,62.559
Chocolate,0.000,0.000,0.000,13.466,35.711
