,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,99.451,29.810,11.383,0.373,0.415
Green,0.000,47.337,0.775,0.000,0.000
Magenta,0.171,17.326,80.194,0.043,0.029
Orange,0.371,5.476,7.592,99.190,57.485
Chocolate,0.007,0.051,0.056,0.393,42.071
