,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,97.676,40.834,21.940,0.643,0.503
Green,0.014,39.196,17.030,0.000,0.000
Purple,0.000,9.452,41.371,0.000,0.000
Orange,2.310,10.519,19.659,92.795,76.701
Chocolate,0.000,0.000,0.000,6.562,22.796
